XDAC V1.4 Datafile V1
"ti_w1002191.103" created on 3/11/10 at 12:10:20 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 4966.00
NUM_REGIONS= 3
SRB= -30 -10 50 507
SRSS= 5 0.25 0.05k
SPP= 2 2 1k
Settling time= 0.20


Offsets= 121.60 84.20 92.40 0.00 0.00
Gains= 9.00 9.00 10.00 0.00 1.00
LaTiO2N yellow, precursor=La2TiO5
33% N2 in I0, N2 in It&Ir, Ti foil reference

--------------------------------------------------------------------------------
        Energy            I0            It            Ir         Iring       IntTime
    4994.74972     4506.8000      795.6000      329.2000    50549.0000        2.0000
    4995.00025     4508.8000      791.6000      327.2000    50551.0000        2.0000
    4995.25084     4513.8000      788.6000      324.2000    50546.0000        2.0000
    4995.49934     4515.8000      784.6000      323.2000    50547.0000        2.0000
    4995.75003     4514.8000      780.6000      319.2000    50551.0000        2.0000
    4996.00077     4517.8000      777.6000      322.2000    50541.0000        2.0000
    4996.24942     4519.8000      775.6000      323.2000    50543.0000        2.0000
    4996.50026     4521.8000      772.6000      321.2000    50547.0000        2.0000
    4996.74900     4522.8000      770.6000      319.2000    50540.0000        2.0000
    4996.99994     4526.8000      769.6000      315.2000    50540.0000        2.0000
    4997.25093     4529.8000      769.6000      316.2000    50539.0000        2.0000
    4997.49983     4532.8000      768.6000      316.2000    50537.0000        2.0000
    4997.75092     4532.8000      769.6000      314.2000    50541.0000        2.0000
    4997.99991     4537.8000      771.6000      315.2000    50532.0000        2.0000
    4998.24896     4539.8000      771.6000      310.2000    50531.0000        2.0000
    4998.50020     4542.8000      773.6000      312.2000    50538.0000        2.0000
    4998.74934     4544.8000      775.6000      310.2000    50527.0000        2.0000
    4999.00069     4546.8000      777.6000      309.2000    50532.0000        2.0000
    4999.24993     4552.8000      780.6000      307.2000    50530.0000        2.0000
    4999.49922     4553.8000      781.6000      307.2000    50524.0000        2.0000
    4999.75071     4555.8000      783.6000      306.2000    50527.0000        2.0000
    5000.00011     4557.8000      785.6000      304.2000    50522.0000        2.0000
    5000.24955     4560.8000      786.6000      302.2000    50521.0000        2.0000
    5000.49904     4562.8000      790.6000      304.2000    50527.0000        2.0000
    5000.75073     4564.8000      791.6000      300.2000    50516.0000        2.0000
    5001.00033     4569.8000      795.6000      300.2000    50520.0000        2.0000
    5001.24997     4573.8000      796.6000      298.2000    50521.0000        2.0000
    5001.49966     4573.8000      798.6000      298.2000    50515.0000        2.0000
    5001.74940     4575.8000      799.6000      298.2000    50517.0000        2.0000
    5001.99919     4578.8000      802.6000      299.2000    50517.0000        2.0000
    5002.24903     4581.8000      804.6000      299.2000    50508.0000        2.0000
    5002.50107     4583.8000      806.6000      300.2000    50517.0000        2.0000
    5002.75101     4586.8000      809.6000      301.2000    50507.0000        2.0000
    5003.00100     4588.8000      811.6000      300.2000    50508.0000        2.0000
    5003.25104     4590.8000      814.6000      303.2000    50509.0000        2.0000
    5003.49897     4593.8000      817.6000      304.2000    50505.0000        2.0000
    5003.74911     4594.8000      819.6000      305.2000    50504.0000        2.0000
    5003.99929     4596.8000      822.6000      305.2000    50510.0000        2.0000
    5004.24953     4601.8000      824.6000      307.2000    50498.0000        2.0000
    5004.49982     4602.8000      828.6000      307.2000    50505.0000        2.0000
    5004.75015     4604.8000      832.6000      310.2000    50499.0000        2.0000
    5005.00054     4608.8000      835.6000      311.2000    50498.0000        2.0000
    5005.25097     4609.8000      837.6000      313.2000    50500.0000        2.0000
    5005.49930     4614.8000      840.6000      314.2000    50499.0000        2.0000
    5005.74983     4615.8000      845.6000      314.2000    50491.0000        2.0000
    5006.00042     4616.8000      848.6000      314.2000    50501.0000        2.0000
    5006.25105     4620.8000      849.6000      316.2000    50491.0000        2.0000
    5006.49957     4621.8000      853.6000      317.2000    50487.0000        2.0000
    5006.75031     4622.8000      855.6000      318.2000    50492.0000        2.0000
    5006.99893     4625.8000      859.6000      319.2000    50489.0000        2.0000
    5007.24976     4630.8000      861.6000      321.2000    50485.0000        2.0000
    5007.50064     4631.8000      863.6000      325.2000    50490.0000        2.0000
    5007.74941     4633.8000      866.6000      327.2000    50480.0000        2.0000
    5008.00039     4637.8000      869.6000      329.2000    50488.0000        2.0000
    5008.24926     4640.8000      873.6000      329.2000    50483.0000        2.0000
    5008.50034     4641.8000      876.6000      330.2000    50477.0000        2.0000
    5008.74930     4646.8000      878.6000      334.2000    50484.0000        2.0000
    5009.00048     4645.8000      881.6000      336.2000    50479.0000        2.0000
    5009.24954     4648.8000      882.6000      340.2000    50477.0000        2.0000
    5009.50082     4653.8000      884.6000      342.2000    50481.0000        2.0000
    5009.74998     4655.8000      887.6000      344.2000    50470.0000        2.0000
    5009.99919     4654.8000      889.6000      346.2000    50476.0000        2.0000
    5010.25062     4658.8000      891.6000      348.2000    50474.0000        2.0000
    5010.49993     4661.8000      893.6000      350.2000    50468.0000        2.0000
    5010.74929     4664.8000      895.6000      355.2000    50474.0000        2.0000
    5011.00086     4666.8000      897.6000      358.2000    50470.0000        2.0000
    5011.25032     4668.8000      898.6000      360.2000    50465.0000        2.0000
    5011.49982     4668.8000      901.6000      362.2000    50470.0000        2.0000
    5011.74938     4673.8000      904.6000      363.2000    50466.0000        2.0000
    5011.99898     4675.8000      907.6000      367.2000    50465.0000        2.0000
    5012.25080     4680.8000      908.6000      370.2000    50466.0000        2.0000
    5012.50051     4678.8000      911.6000      369.2000    50460.0000        2.0000
    5012.75026     4681.8000      914.6000      372.2000    50462.0000        2.0000
    5013.00005     4685.8000      917.6000      375.2000    50462.0000        2.0000
    5013.24990     4688.8000      919.6000      375.2000    50454.0000        2.0000
    5013.49980     4689.8000      921.6000      378.2000    50461.0000        2.0000
    5013.74975     4692.8000      924.6000      380.2000    50456.0000        2.0000
    5013.99974     4692.8000      925.6000      381.2000    50454.0000        2.0000
    5014.24979     4695.8000      927.6000      381.2000    50456.0000        2.0000
    5014.49988     4698.8000      930.6000      383.2000    50449.0000        2.0000
    5014.75002     4702.8000      931.6000      385.2000    50449.0000        2.0000
    5015.00022     4704.8000      934.6000      388.2000    50454.0000        2.0000
    5015.25046     4706.8000      935.6000      386.2000    50444.0000        2.0000
    5015.50075     4708.8000      939.6000      388.2000    50446.0000        2.0000
    5015.75108     4711.8000      940.6000      389.2000    50449.0000        2.0000
    5017.38929     8674.3632     1741.7334      727.6148    92639.0000        3.6730
    5018.79826     8814.2832     1772.5234      746.9948    93898.0000        3.7230
    5020.22626     8959.2032     1802.3134      764.3748    95151.0000        3.7730
    5021.67334     9109.1232     1833.1034      780.7548    96407.0000        3.8230
    5023.13957     9263.0432     1866.8934      805.1348    97663.0000        3.8730
    5024.62501     9415.9632     1896.6834      821.5148    98922.0000        3.9230
    5026.12753     9573.8832     1928.4734      838.8948   100174.0000        3.9730
    5027.65157     9736.8032     1962.2634      851.2748   101433.0000        4.0230
    5029.19281     9900.7232     2001.0534      865.6548   102685.0000        4.0730
    5030.75570    10068.6432     2040.8434      873.0348   103943.0000        4.1230
    5032.33592    10232.5632     2077.6334      882.4148   105198.0000        4.1730
    5033.93351    10401.4832     2120.4234      886.7948   106458.0000        4.2230
    5035.55295    10576.4032     2160.2134      880.1748   107708.0000        4.2730
    5037.18991    10757.3232     2195.0034      875.5548   108961.0000        4.3230
    5038.84664    10935.2432     2226.7934      869.9348   110217.0000        4.3730
    5040.52101    11107.1632     2257.5834      874.3148   111477.0000        4.4230
    5042.21751    11291.0832     2299.3734      884.6948   112726.0000        4.4730
    5043.92955    11465.0032     2348.1634      911.0748   113988.0000        4.5230
    5045.66163    11646.9232     2402.9534      934.4548   115233.0000        4.5730
    5047.41384    11818.8432     2455.7434      967.8348   116494.0000        4.6230
    5049.18625    11931.7632     2488.5334      997.2148   117741.0000        4.6730
    5050.97444    12155.6832     2534.3234     1035.5948   119003.0000        4.7230
    5052.78297    12395.6032     2578.1134     1077.9748   120249.0000        4.7730
    5054.61190    12575.5232     2607.9034     1115.3548   121501.0000        4.8230
    5056.45906    12757.4432     2643.6934     1154.7348   122757.0000        4.8730
    5058.32452    12942.3632     2682.4834     1188.1148   124002.0000        4.9230
    5060.21060    13131.2832     2730.2734     1213.4948   125263.0000        4.9730
    5062.11287    13313.2032     2782.0634     1236.8748   126509.0000        5.0230
    5064.03590    13491.1232     2836.8534     1263.2548   127766.0000        5.0730
    5065.97978    13678.0432     2897.6434     1300.6348   129016.0000        5.1230
    5067.94005    13916.9632     2967.4334     1340.0148   130268.0000        5.1730
    5069.92131    14118.8832     3027.2234     1379.3948   131518.0000        5.2230
    5071.91910    14323.8032     3079.0134     1412.7748   132770.0000        5.2730
    5073.93804    14531.7232     3134.8034     1446.1548   134019.0000        5.3230
    5075.97592    14730.6432     3193.5934     1470.5348   135274.0000        5.3730
    5078.03282    14935.5632     3259.3834     1496.9148   136523.0000        5.4230
    5080.10882    15145.4832     3327.1734     1512.2948   137773.0000        5.4730
    5082.20169    15339.4032     3404.9634     1527.6748   139025.0000        5.5230
    5084.31610    15545.3232     3481.7534     1538.0548   140266.0000        5.5730
    5086.44984    15766.2432     3555.5434     1542.4348   141520.0000        5.6230
    5088.60067    15984.1632     3621.3334     1545.8148   142774.0000        5.6730
    5090.77097    16205.0832     3685.1234     1547.1948   144015.0000        5.7230
    5092.96083    16421.0032     3748.9134     1570.5748   145267.0000        5.7730
    5095.17030    16649.9232     3816.7034     1603.9548   146520.0000        5.8230
    5097.39718    16877.8432     3884.4934     1659.3348   147758.0000        5.8730
    5099.64615    17092.7632     3949.2834     1732.7148   149015.0000        5.9230
    5101.91035    17325.6832     4017.0734     1815.0948   150265.0000        5.9730
    5104.19680    17567.6032     4091.8634     1905.4748   151508.0000        6.0230
    5106.50096    17805.5232     4166.6534     1981.8548   152754.0000        6.0730
    5108.82288    18043.4432     4236.4434     2038.2348   154008.0000        6.1230
    5111.16498    18281.3632     4308.2334     2081.6148   155257.0000        6.1730
    5113.52733    18518.2832     4382.0234     2120.9948   156495.0000        6.2230
    5115.90769    18759.2032     4455.8134     2158.3748   157741.0000        6.2730
    5118.30613    19011.1232     4533.6034     2199.7548   158992.0000        6.3230
    5120.72506    19256.0432     4606.3934     2243.1348   160239.0000        6.3730
    5123.16223    19504.9632     4688.1834     2288.5148   161487.0000        6.4230
    5125.62007    19754.8832     4765.9734     2335.8948   162723.0000        6.4730
    5128.09393    20007.8032     4848.7634     2394.2748   163969.0000        6.5230
    5130.58862    20251.7232     4930.5534     2444.6548   165215.0000        6.5730
    5133.10423    20493.6432     5014.3434     2493.0348   166461.0000        6.6230
    5135.63609    20727.5632     5097.1334     2541.4148   167708.0000        6.6730
    5138.18903    20962.4832     5183.9234     2580.7948   168950.0000        6.7230
    5140.75838    21200.4032     5272.7134     2610.1748   170198.0000        6.7730
    5143.34897    21442.3232     5358.5034     2641.5548   171446.0000        6.8230
    5145.95851    21686.2432     5444.2934     2663.9348   172682.0000        6.8730
    5148.58468    21940.1632     5526.0834     2687.3148   173924.0000        6.9230
    5151.23235    22191.0832     5613.8734     2718.6948   175164.0000        6.9730
    5153.89920    22468.0032     5710.6634     2768.0748   176410.0000        7.0230
    5156.58292    22737.9232     5812.4534     2847.4548   177651.0000        7.0730
    5159.28840    23025.8432     5916.2434     2924.8348   178898.0000        7.1230
    5162.01089    23325.7632     6022.0334     3016.2148   180141.0000        7.1730
    5164.75289    23593.6832     6120.8234     3089.5948   181376.0000        7.2230
    5167.51449    23893.6032     6231.6134     3172.9748   182620.0000        7.2730
    5170.29576    24177.5232     6351.4034     3254.3548   183855.0000        7.3230
    5173.09437    24461.4432     6467.1934     3346.7348   185104.0000        7.3730
    5175.91281    24748.3632     6581.9834     3449.1148   186334.0000        7.4230
    5178.75118    25050.2832     6702.7734     3540.4948   187578.0000        7.4730
    5181.60711    25384.2032     6829.5634     3644.8748   188808.0000        7.5230
    5184.48313    25693.1232     6950.3534     3723.2548   190049.0000        7.5730
    5187.37686    25969.0432     7060.1434     3793.6348   191286.0000        7.6230
    5190.29086    26253.9632     7171.9334     3858.0148   192529.0000        7.6730
    5193.22520    26575.8832     7300.7234     3939.3948   193767.0000        7.7230
    5196.17750    26886.8032     7422.5134     4012.7748   195006.0000        7.7730
    5199.14783    27221.7232     7551.3034     4083.1548   196244.0000        7.8230
    5202.13628    27567.6432     7688.0934     4161.5348   197479.0000        7.8730
    5205.14540    27893.5632     7821.8834     4231.9148   198723.0000        7.9230
    5208.17528    28228.4832     7958.6734     4297.2948   199959.0000        7.9730
    5211.22103    28551.4032     8100.4634     4369.6748   201190.0000        8.0230
    5214.28771    28896.3232     8236.2534     4437.0548   202423.0000        8.0730
    5217.37290    29219.2432     8371.0434     4526.4348   203661.0000        8.1230
    5220.47669    29572.1632     8513.8334     4626.8148   204897.0000        8.1730
    5223.59915    29887.0832     8651.6234     4719.1948   205624.0000        8.2230
    5226.74288    30219.0032     8788.4134     4822.5748   207365.0000        8.2730
    5229.90292    30551.9232     8929.2034     4923.9548   208599.0000        8.3230
    5233.08441    30904.8432     9083.9934     5027.3348   209835.0000        8.3730
    5236.28489    31247.7632     9243.7834     5143.7148   211074.0000        8.4230
    5239.50191    31600.6832     9408.5734     5271.0948   212304.0000        8.4730
    5242.74064    32002.6032     9591.3634     5409.4748   213539.0000        8.5230
    5245.99605    32384.5232     9758.1534     5544.8548   214770.0000        8.5730
