XDAC V1.4 Datafile V1
"TiPyro3_Oct09.2703" created on 11/1/09 at 7:25:25 PM on U-7A
Diffraction element= 1200 l/mm.  Ring energy= 800.00 GeV
E0= 440.00
NUM_REGIONS= 3
SRB= 0 10 35 50
SRSS= .2 .1 .2
SPP= 1 1 1
Settling time= 0.00


Offsets= 2.20 140.00 189.80 449.60
Gains= 10.00 0.00 0.00 0.00
Pyrochlore#3(Pristine GdTi2O7)/Angle 55/Bias -270/TiN Mesh
1200l/mm Gratings, 30um slits, ecc:60uA
CsI FY Collector:2200V, BackEnd:2000V, Cone:GND, Bias:-760
--------------------------------------------------------------------------------
        Energy         Io_up            I0            EY        FY_CsI
     471.92935        0.8000     6005.0000      888.2000     6426.4000
     472.06396        0.8000     6012.0000      897.2000     6301.4000
     472.21431        0.8000     6016.0000      899.2000     6478.4000
     472.23938        0.8000     6019.0000      899.2000     6287.4000
     472.37103        0.8000     6019.0000      892.2000     6181.4000
     472.49962        0.8000     6026.0000      897.2000     6406.4000
     472.61886        1.8000     6027.0000      888.2000     6276.4000
     472.68792        0.8000     6032.0000      897.2000     6281.4000
     472.81040        0.8000     6034.0000      890.2000     6247.4000
     472.87637        0.8000     6031.0000      888.2000     6332.4000
     473.00209        0.8000     6039.0000      884.2000     6120.4000
     473.12159        0.8000     6044.0000      885.2000     6217.4000
     473.19080        0.8000     6044.0000      885.2000     6069.4000
     473.31353        0.8000     6049.0000      875.2000     6183.4000
     473.37965        0.8000     6049.0000      876.2000     6140.4000
     473.50249        0.8000     6055.0000      881.2000     6099.4000
     473.61908        0.8000     6058.0000      872.2000     6032.4000
     473.69474        0.8000     6060.0000      888.2000     6039.4000
     473.77674        0.8000     6063.0000      878.2000     6077.4000
     473.88084        0.8000     6065.0000      880.2000     6068.4000
     474.00394        0.8000     6071.0000      881.2000     6018.4000
     474.07341        0.8000     6069.0000      878.2000     6093.4000
     474.19977        0.8000     6069.0000      885.2000     6096.4000
     474.32303        0.8000     6070.0000      896.2000     6067.4000
     474.32303        0.8000     6071.0000      894.2000     6073.4000
     474.50962        0.8000     6075.0000      902.2000     6339.4000
     474.57924        0.8000     6077.0000      894.2000     6111.4000
     474.70587        0.8000     6080.0000      897.2000     6224.4000
     474.82622        0.8000     6085.0000      898.2000     6243.4000
     474.82622        0.8000     6083.0000      902.2000     6406.4000
     474.96249        0.8000     6085.0000      910.2000     6296.4000
     475.21305        0.8000     6093.0000      926.2000     6500.4000
     475.40034        0.8000     6100.0000      919.2000     6409.4000
     475.59414        0.8000     6103.0000      927.2000     6355.4000
     475.84537        0.8000     6110.0000      939.2000     6563.4000
     475.97585        0.8000     6112.0000      927.2000     6436.4000
     476.22429        0.8000     6117.0000      925.2000     6632.4000
     476.36137        0.8000     6116.0000      922.2000     6666.4000
     476.61340        0.8000     6123.0000      926.2000     6544.4000
     476.80180        0.8000     6128.0000      936.2000     6476.4000
     476.99675        0.8000     6132.0000      930.2000     6453.4000
     477.18865        0.8000     6142.0000      932.2000     6578.4000
     477.43516        0.8000     6149.0000      926.2000     6512.4000
     477.57293        0.8000     6149.0000      915.2000     6542.4000
     477.81983        0.8000     6156.0000      918.2000     6534.4000
     478.01561        0.8000     6158.0000      911.2000     6587.4000
     478.15371        0.8000     6163.0000      904.2000     6468.4000
     478.40765        0.8000     6174.0000      895.2000     6556.4000
     478.60069        0.8000     6181.0000      899.2000     6261.4000
     478.79711        0.8000     6186.0000      884.2000     6050.4000
     479.04528        0.8000     6192.0000      891.2000     6169.4000
     479.18075        0.8000     6195.0000      871.2000     6007.4000
     479.37765        0.8000     6200.0000      869.2000     5992.4000
     479.62966        0.8000     6209.0000      878.2000     5854.4000
     479.82369        0.8000     6213.0000      871.2000     5826.4000
     479.95636        0.8000     6216.0000      871.2000     5830.4000
     480.21546        0.8000     6220.0000      867.2000     5895.4000
     480.40672        0.8000     6227.0000      871.2000     5857.4000
     480.60462        0.8000     6230.0000      874.2000     5911.4000
     480.79295        0.8000     6235.0000      867.2000     5852.4000
     480.99442        0.8000     6239.0000      877.2000     5871.4000
     481.18956        0.8000     6248.0000      874.2000     5902.4000
     481.38811        0.8000     6253.0000      874.2000     5743.4000
     481.64223        0.8000     6261.0000      879.2000     5765.4000
     481.77592        0.8000     6264.0000      877.2000     5692.4000
     482.03045        1.8000     6274.0000      874.2000     5777.4000
     482.16762        0.8000     6276.0000      879.2000     5759.4000
     482.42584        0.8000     6284.0000      866.2000     5813.4000
     482.55996        0.8000     6290.0000      883.2000     5775.4000
     482.82187        0.8000     6299.0000      885.2000     5731.4000
     483.00866        0.8000     6303.0000      880.2000     5779.4000
     483.21199        0.8000     6308.0000      883.2000     5698.4000
     483.35640        0.8000     6311.0000      885.2000     5930.4000
     483.60932        0.8000     6317.0000      881.2000     5827.4000
     483.80330        0.8000     6318.0000      883.2000     5884.4000
     484.00401        0.8000     6322.0000      883.2000     5880.4000
     484.19830        0.8000     6320.0000      887.2000     5942.4000
     484.39935        0.8000     6236.0000      882.2000     5782.4000
     484.59395        0.8000     6242.0000      877.2000     5835.4000
     484.79533        0.8000     6246.0000      883.2000     5845.4000
     484.99356        0.8000     6253.0000      883.2000     5902.4000
     485.19195        0.8000     6259.0000      897.2000     5895.4000
     485.39051        1.8000     6268.0000      887.2000     5934.4000
     485.59254        0.8000     6270.0000      891.2000     6051.4000
     485.84781        0.8000     6272.0000      901.2000     5959.4000
     485.98716        0.8000     6275.0000      906.2000     6094.4000
     486.18637        0.8000     6278.0000      903.2000     6124.4000
     486.38574        0.8000     6284.0000      907.2000     6140.4000
     486.64517        0.8000     6290.0000      912.2000     6142.4000
     486.78498        0.8000     6296.0000      902.2000     6055.4000
     486.98484        0.8000     6302.0000      909.2000     6222.4000
     487.18820        0.8000     6305.0000      916.2000     6470.4000
     487.44181        0.8000     6310.0000      916.2000     6189.4000
     487.58542        0.8000     6313.0000      916.2000     6178.4000
     487.78594        0.8000     6321.0000      912.2000     6217.4000
     487.98663        0.8000     6325.0000      913.2000     6213.4000
     488.25112        0.8000     6330.0000      919.2000     6278.4000
     488.38179        0.8000     6335.0000      923.2000     6379.4000
     488.58633        0.8000     6340.0000      922.2000     6440.4000
     488.79103        0.8000     6347.0000      925.2000     6416.4000
     488.99254        0.8000     6353.0000      925.2000     6335.4000
     489.19759        0.8000     6359.0000      928.2000     6424.4000
     489.39944        0.8000     6364.0000      932.2000     6460.4000
     489.59809        0.8000     6369.0000      937.2000     6279.4000
     489.80027        1.8000     6373.0000      932.2000     6257.4000
     490.00261        0.8000     6378.0000      929.2000     6358.4000
